OPPONENT_TEAM_ID,OPPONENT_TEAM_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT
1610612737,ATL,-0.03848299805595971,0.05086268410585044,-0.2239599287499228,0.022348368032031943,-0.14902486469309656,-0.04417233422659521,0.4126378733459507,-0.02390417315576605,0.03103006969857608,-0.11808859846393108
1610612738,BOS,-0.0011697557779908297,0.03327620702008042,-0.17581438201823013,0.02506901593094718,-0.2165145375554385,0.002936536117072264,0.48860819276627043,-0.06765755353747543,0.05930590665352565,-0.16530403429920762
1610612739,CLE,-0.024527774142497998,0.030323563183219895,-0.12095333553486252,-0.018221939416613583,-0.24073587871973,0.03313167884019116,0.4775591865454317,-0.04676662085097277,0.014125846939982614,-0.05643983399732616
1610612740,NOP,-0.025920490809092006,0.028251128264486024,-0.13555172712880892,0.01875489490573264,-0.22682567597320147,0.028047665494911698,0.4475061793190219,-0.04643904168531147,0.05037731486169496,-0.11700813147943612
1610612741,CHI,-0.01349163848949585,0.03524876107501377,-0.18197554448107944,0.002917205515684545,-0.20566501703304071,-0.019520330662932465,0.49688627174071825,-0.041288817934368206,0.033751747062281984,-0.11050684560517501
1610612742,DAL,-0.018525255725280302,0.01681346304203701,-0.1816986418808682,0.03602786533964748,-0.20068605997079061,0.01536847689913228,0.42362634621961215,-0.042467365884637676,0.016083382057064194,-0.0976427053485859
1610612743,DEN,-0.05674418625605986,0.01217240706707578,-0.21314021496945362,0.017735751117575936,-0.17235213729377918,0.0017176146073669552,0.39775462999940076,-0.05110168221220993,0.013005306647312446,-0.13166631500091547
1610612744,GSW,-0.023611099883406633,0.03514298151591256,-0.05127594059006507,0.0004893520071808334,-0.27785500600983315,0.05065757900949083,0.4901339623610437,-0.012186256798710994,0.03336563007380566,-0.17837168762746103
1610612745,HOU,-0.023283223600291936,0.01802710121977044,-0.16915916254733143,-0.007755585833537245,-0.2574841512053574,0.035497908588980755,0.5118501883703822,-0.05436143136175483,0.022587087595263976,-0.10762162620380886
1610612746,LAC,-0.010466775522234635,0.0072265498691438616,-0.13694728701757822,0.008949604825818415,-0.22354547788070456,0.00757903230489209,0.49912236149518846,-0.061823002901583254,0.02697600441472402,-0.15506247524723635
1610612747,LAL,-0.036077528655248325,0.03287598903619322,-0.17634649816183992,0.022208004676161245,-0.18963445683953964,0.014391177895462766,0.4129924484107542,-0.06321626976431058,0.03334464914225768,-0.13777916978693566
1610612748,MIA,-0.018107041825985288,0.016131668617727295,-0.16370085655333594,-0.012332793530985974,-0.19025667712829059,-0.023883661916173086,0.4567996876575775,-0.03165506496113327,0.06418160203525435,-0.17931921061150216
