OPPONENT_TEAM_ID,OPPONENT_TEAM_NAME,DIST,ANGLE,CLUSTER
1610612737,ATL,-0.4479198574998456,0.022348368032031943,3
1610612738,BOS,-0.35162876403646026,0.02506901593094718,2
1610612739,CLE,-0.24190667106972505,-0.018221939416613583,1
1610612740,NOP,-0.27110345425761784,0.01875489490573264,1
1610612741,CHI,-0.3639510889621589,0.002917205515684545,2
1610612742,DAL,-0.3633972837617364,0.03602786533964748,2
1610612743,DEN,-0.4262804299389072,0.017735751117575936,3
1610612744,GSW,-0.10255188118013014,0.0004893520071808334,4
1610612745,HOU,-0.3383183250946629,-0.007755585833537245,2
1610612746,LAC,-0.27389457403515644,0.008949604825818415,1
1610612747,LAL,-0.35269299632367984,0.022208004676161245,2
1610612748,MIA,-0.3274017131066719,-0.012332793530985974,0
1610612749,MIL,-0.3410911504821967,0.0005943990024529892,0
1610612750,MIN,-0.2427725509348185,-0.0013555044875487214,1
1610612751,BKN,-0.3974820276529816,-0.008072952236518766,3
1610612752,NYK,-0.2939666645313703,-0.008775811905894628,0
1610612753,ORL,-0.3939508816562928,-0.0026792324962437303,3
1610612754,IND,-0.40467818408652545,0.013287755322981315,3
1610612755,PHI,-0.3418611907808789,-0.028141636652137515,0
1610612756,PHX,-0.2604760982452517,0.0057200446165257155,1
1610612757,POR,-0.3006445344198974,0.016606826141517796,0
1610612758,SAC,-0.33152836982344824,0.0009232981749359783,2
1610612759,SAS,-0.3745018305702065,0.022870051153503143,3
1610612760,OKC,-0.31556674278116237,-0.019684873828293408,0
1610612761,TOR,-0.3481818855802651,0.017978019806535996,2
1610612762,UTA,-0.211742028109522,-0.00982859782551041,1
1610612763,MEM,-0.3584378336153716,0.013848632360024985,2
1610612764,WAS,-0.2578977586389094,-0.03271678305218115,1
1610612765,DET,-0.3669671107024748,-0.018993385691591404,2
1610612766,CHA,-0.30729788787806056,0.013001194001332523,0
