PLAYER_ID,PLAYER_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Tip Shot,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT,CLUSTER
101107,Marvin Williams,-0.05093992981506569,0.003051317003341113,-0.13307002037497612,-0.0060877969796841284,-0.21576145324524296,0.02426859866356352,0.13698108955486418,-0.0059304257256344245,0.0015866736372941433,0.040387389729090784,-0.2038922733510816,2
101108,Chris Paul,-0.014261224801713497,0.0938128896876374,-0.42174800919364425,-0.003554747741949018,-0.18109534936595476,-0.03801477951537796,0.1745562861466066,-0.10215302462221117,-0.018836148300469542,0.05946161851110614,0.052137957377957185,0
101123,Gerald Green,-0.0307367757403465,0.02833759215341778,-0.3295297653907988,-0.017006708224171028,-0.10528036633947707,-0.03526185830328662,0.12269044363078237,-0.06411895165764665,-0.061494092935961336,0.02480154505498703,-0.25525343217799035,0
101133,Ian Mahinmi,-0.055356798031718384,-0.007705725454465779,-0.524380964047812,-0.05832362485674768,-0.2824235683908176,0.09866995885283264,0.14240859855903387,-0.04464146182481297,0.01726880091904971,0.034681711415787665,-0.5524055719512747,0
101139,CJ Miles,-0.056500543227656276,0.02334012672902946,0.04513358327625428,0.01985860406868875,-0.2594397380686018,0.10115310202808027,0.12688165121530462,0.036995971812462336,-0.07271048223198891,0.04411540476350197,-0.2849447602548576,2
101141,Ersan Ilyasova,-0.044741631031406236,0.011157085122316186,0.07695946306552227,0.01566663757937726,-0.2793204766030972,0.1338050433996782,0.1271501236010476,-0.07317195143138176,-0.00890815082991269,0.06837394949148516,-0.2010465762145197,2
101150,Lou Williams,-0.009821500676073113,0.05237663772214403,-0.26013665859525875,-0.017329278346742208,-0.20858598575552925,-0.0006870735603024412,0.16037181462430514,-0.08046035291954677,0.0119869213939594,0.04439125225393787,-0.2026583916373931,0
1626143,Jahlil Okafor,-0.03656757936110817,-0.06645667954365246,-1.041104788404196,0.046141055574021234,-0.21869881100866287,0.03436925623829714,0.13398235237324663,9.279423524300955e-05,-0.012993398440247637,0.05000662807950184,-0.4572212113282054,4
1626144,Emmanuel Mudiay,0.01627164930859509,0.07809714401806787,-0.18848078646570013,0.022484101911897737,-0.15137417004433906,0.012692890296300729,0.13985133647497242,0.00015833832907550982,-0.19530545539822905,0.050857803525253334,-0.4087664550015987,0
1626145,Tyus Jones,-0.034432721665201865,0.06662514840548406,-0.5383198022367112,0.018279671914382116,-0.08711768921127916,0.028235212890226336,0.03945663214808305,2.904802158213337e-05,0.00548604981010617,0.05240941836433885,-0.3042950158835205,0
1626149,Montrezl Harrell,-0.0425796898185053,0.09338398613247327,-1.7109140439306745,-0.004124555987325454,-0.14963686102470192,-0.033208852681705016,0.12548704492730814,8.533158060372971e-05,-0.0024210404828702288,0.04399873951627669,-0.7504227420305212,3
1626153,Delon Wright,0.036337737726916494,-0.0053051673499601255,-0.4268140929018955,0.004534434929382805,-0.2523890461962742,-0.032426193559399005,0.2198370453114948,-2.794244576196393e-05,-0.08811516212899917,0.011853626962584069,-0.2936476699340065,0
1626156,D'Angelo Russell,0.007667749598588694,0.027694669237419263,-0.4844549150043824,-0.04998925402048695,-0.14628674304514805,-0.05374926964063936,0.14953300763520594,0.020301335807536208,-0.09138488978780512,0.07365619856298229,-0.1631056588612011,0
1626157,Karl-Anthony Towns,-0.05301409090221512,0.04256933936901253,-0.2694697377979277,-0.003155695294188505,-0.21485493417856225,0.027921807000472764,0.13522778391354592,0.0016669530655394195,-0.007732761263685449,0.030563051745272282,-0.01273661101196478,0
1626158,Richaun Holmes,-0.05902591275943411,0.035057942821360634,-0.6407754449197408,-0.009029501718270024,-0.22047959591423785,-0.016427320460753462,0.1761196167315646,-6.370624309500432e-05,-0.03573247802388037,-2.1975142615003895e-05,-0.34967888987604595,0
1626159,Justise Winslow,-0.14284520615523644,0.013064830231880882,-0.3558956275169269,-0.0749603553536986,-0.14496128317770235,0.0016487122394007825,0.14194140373837696,3.9446668243965264e-05,-0.18977091479786368,0.03861229527011927,-0.35540225248664137,0
1626161,Willie Cauley-Stein,0.016435708826847983,0.03156853983282066,-0.25230432519620843,-0.03082971301637215,-0.2210720078208688,0.03113662789082277,0.14524376821997687,-0.00020039167950157443,-0.047127534783586764,0.05149230370258255,-0.4501139542350077,0
1626162,Kelly Oubre Jr.,0.026320581810661187,0.01150196905486243,-0.4591103669092476,0.04714568710084217,-0.1302317869808517,-0.06926785741881779,0.11705314145946168,-8.247245080985255e-06,0.0034000633200514797,0.2684176160906752,-0.3763228793609875,0
1626163,Frank Kaminsky,-0.011146065442054551,0.0599156500574119,-0.2998538478751249,0.046585208779441584,-0.20777828690945965,0.0028532615070034424,0.13419104152898484,0.035243540603850765,0.00669222171240457,0.05525263050508733,-0.2735267354915973,0
1626164,Devin Booker,-0.030944997122585693,0.00845998621835525,-0.496484047778181,0.014707206107547253,-0.15295227263948888,-0.015447664186486175,0.12041362645785299,0.01821840877995173,-0.03071488496848952,0.026373075122598025,-0.14031065088873484,0
1626167,Myles Turner,-0.02114621460841469,-0.007848124624160879,-0.28235080121711803,-0.032645962093205215,-0.203879182699832,0.016836401117515953,0.14599674173607133,0.01065637834852513,-0.06758820404079544,0.02800280953520612,-0.08230854832997048,0
