PLAYER_ID,PLAYER_NAME,DIST,ANGLE,CLUSTER
101107,Marvin Williams,-0.13307002037497612,-0.0060877969796841284,2
101108,Chris Paul,-0.42174800919364425,-0.003554747741949018,0
101123,Gerald Green,-0.3295297653907988,-0.017006708224171028,0
101133,Ian Mahinmi,-0.524380964047812,-0.05832362485674768,0
101139,CJ Miles,0.04513358327625428,0.01985860406868875,2
101141,Ersan Ilyasova,0.07695946306552227,0.01566663757937726,2
101150,Lou Williams,-0.26013665859525875,-0.017329278346742208,0
1626143,Jahlil Okafor,-1.041104788404196,0.046141055574021234,4
1626144,Emmanuel Mudiay,-0.18848078646570013,0.022484101911897737,0
1626145,Tyus Jones,-0.5383198022367112,0.018279671914382116,0
1626149,Montrezl Harrell,-1.7109140439306745,-0.004124555987325454,3
1626153,Delon Wright,-0.4268140929018955,0.004534434929382805,0
1626156,D'Angelo Russell,-0.4844549150043824,-0.04998925402048695,0
1626157,Karl-Anthony Towns,-0.2694697377979277,-0.003155695294188505,0
1626158,Richaun Holmes,-0.6407754449197408,-0.009029501718270024,0
1626159,Justise Winslow,-0.3558956275169269,-0.0749603553536986,0
1626161,Willie Cauley-Stein,-0.25230432519620843,-0.03082971301637215,0
1626162,Kelly Oubre Jr.,-0.4591103669092476,0.04714568710084217,0
1626163,Frank Kaminsky,-0.2998538478751249,0.046585208779441584,0
1626164,Devin Booker,-0.496484047778181,0.014707206107547253,0
1626167,Myles Turner,-0.28235080121711803,-0.032645962093205215,0
1626168,Trey Lyles,-0.15470744248343138,0.06449281774356813,2
1626169,Stanley Johnson,-0.2932180956731312,-0.033097189185059175,0
1626171,Bobby Portis,-0.4711388439945257,0.010197590687987349,0
1626172,Kevon Looney,-0.3284536333636639,0.054207126627170026,0
1626174,Christian Wood,-0.44543248820185743,-0.06683634645660759,0
1626178,Rondae Hollis-Jefferson,-0.7814904174935238,-0.04580374284085917,4
1626179,Terry Rozier,0.010684392411045726,-0.06183453856527465,2
1626181,Norman Powell,-0.11425906491987335,0.009893045524176271,2
1626188,Quinn Cook,-0.3866377878287814,0.07823322952811275,0
1626192,Pat Connaughton,-0.1625967853604076,0.056535878478802475,2
1626195,Willy Hernangomez,-0.5602523112446121,0.03539654097050853,0
1626196,Josh Richardson,-0.2339868263617413,-0.05218684781746637,0
1626203,Treveon Graham,-0.6295466544387162,-0.04963801257444711,0
1626204,Larry Nance Jr.,-0.28438541784237614,-0.06313039783196309,0
1626209,Mario Hezonja,-0.6089351631291576,0.05523534799100315,0
1626220,Royce O'Neale,-0.009731235730271388,0.0478649608787886,2
1626224,Cedi Osman,-0.4318142812376469,-0.06760017700078201,0
1626245,Cristiano Felicio,-1.1955340887324215,0.0046493344490911035,4
1626246,Boban Marjanovic,-0.8267958088263178,0.11538638709421248,4
1627732,Ben Simmons,-2.0969925783491754,-0.11823188211744133,3
1627733,Dragan Bender,-0.5566220566961814,0.044146589446617014,0
1627734,Domantas Sabonis,-0.20601261180632746,0.032962372739283256,2
1627736,Malik Beasley,-0.12724600565774868,0.1054918238707161,2
1627737,Marquese Chriss,-0.5032812362714676,0.039708156147076616,0
1627739,Kris Dunn,-0.5108130426615023,-0.016208759022209578,0
1627740,Henry Ellenson,0.28867227516505517,-0.07456468690844324,2
1627741,Buddy Hield,-0.05575134252729096,-0.012796668191285549,2
1627742,Brandon Ingram,-0.2956792148762015,-0.013192129105524971,0
1627745,Damian Jones,-1.382025242766865,0.16960985447152785,4
1627746,Skal Labissiere,-0.01417905620682713,-0.10854544859240348,2
1627747,Caris LeVert,-0.4559411511693376,0.012031875881996359,0
1627748,Thon Maker,-0.1709330074700644,-0.06571067752106796,0
1627749,Dejounte Murray,-0.986841562780937,0.03607641439932272,4
1627750,Jamal Murray,-0.3718648368770032,0.016258510554925255,0
1627751,Jakob Poeltl,-2.1614410417938608,-0.12122863030156902,3
1627752,Taurean Prince,-0.1454544003904778,0.11166547513198592,2
1627756,Denzel Valentine,-0.11375445445707835,-0.016187676378058954,2
1627759,Jaylen Brown,-0.4475232789216874,0.003169498527921252,0
1627761,DeAndre' Bembry,-0.6570424888126201,0.11119790393186556,0
1627763,Malcolm Brogdon,-0.15687963563585486,-0.03492430928444774,2
1627767,Cheick Diallo,-1.3978183723983877,-0.0005469782209479977,4
1627774,Jake Layman,-0.8129184110653898,0.08038555742262858,4
1627775,Patrick McCaw,-0.6721929386119703,0.07475470233540367,0
1627777,Georges Niang,-1.2307913707602096,-0.3893585709210606,4
1627783,Pascal Siakam,-0.7743068360443058,-0.02031356271654796,4
1627788,Furkan Korkmaz,-0.6643178015490971,-0.004736067305351989,0
1627789,Timothe Luwawu-Cabarrot,0.3691659953955952,0.06315411730038112,2
1627790,Ante Zizic,-0.3324420311547204,0.044146446719284894,0
1627812,Yogi Ferrell,-0.4998022354034374,0.011093459990022243,0
1627814,Damion Lee,-0.6940892842766819,-0.09691028466158144,4
1627820,Tyrone Wallace,-1.2402422535832653,-0.04377566934239845,4
1627823,Juancho Hernangomez,0.08175783505829817,-0.00984316438009617,2
1627826,Ivica Zubac,-0.5853361566282999,-0.08925634415037352,0
1627827,Dorian Finney-Smith,-0.057644904001320135,0.0923015699437862,2
1627832,Fred VanVleet,0.3008147102851987,-0.11819817995197045,2
1627846,Abdel Nader,-0.2873872140417188,0.03315319937082422,0
1627853,Ryan Arcidiacono,-0.5558570655225726,0.03084919045467157,0
1627854,Bryn Forbes,-0.4350296955141564,-0.0205995835249342,0
1627863,Danuel House Jr.,-0.7320368683618464,-0.040913658015591985,4
