PLAYER_ID,PLAYER_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Tip Shot,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT
101107,Marvin Williams,-0.050939929815065704,0.0030513170033411134,-0.06653501018748806,-0.0060877969796841284,-0.21576145324524296,0.02426859866356352,0.4109432686645926,-0.005930425725634424,0.0015866736372941433,0.040387389729090784,-0.20389227335108157
101108,Chris Paul,-0.014261224801713497,0.09381288968763739,-0.21087400459682215,-0.003554747741949018,-0.18109534936595473,-0.03801477951537796,0.5236688584398198,-0.10215302462221115,-0.018836148300469546,0.05946161851110614,0.05213795737795719
101123,Gerald Green,-0.0307367757403465,0.028337592153417784,-0.1647648826953994,-0.017006708224171028,-0.10528036633947709,-0.03526185830328662,0.36807133089234706,-0.06411895165764665,-0.06149409293596134,0.02480154505498703,-0.25525343217799035
101133,Ian Mahinmi,-0.055356798031718384,-0.007705725454465779,-0.262190482023906,-0.05832362485674768,-0.2824235683908176,0.09866995885283264,0.4272257956771016,-0.04464146182481297,0.01726880091904971,0.03468171141578766,-0.5524055719512747
101139,CJ Miles,-0.05650054322765627,0.02334012672902946,0.02256679163812714,0.01985860406868875,-0.2594397380686018,0.10115310202808027,0.3806449536459139,0.03699597181246234,-0.07271048223198891,0.044115404763501974,-0.2849447602548576
101141,Ersan Ilyasova,-0.04474163103140624,0.011157085122316186,0.03847973153276114,0.01566663757937726,-0.2793204766030972,0.1338050433996782,0.38145037080314276,-0.07317195143138176,-0.00890815082991269,0.06837394949148516,-0.20104657621451974
101150,Lou Williams,-0.009821500676073111,0.05237663772214403,-0.13006832929762938,-0.01732927834674221,-0.20858598575552925,-0.0006870735603024412,0.48111544387291544,-0.08046035291954678,0.011986921393959401,0.04439125225393787,-0.2026583916373931
1626143,Jahlil Okafor,-0.03656757936110817,-0.06645667954365246,-0.520552394202098,0.046141055574021234,-0.21869881100866292,0.03436925623829714,0.4019470571197399,9.279423524300957e-05,-0.012993398440247638,0.05000662807950184,-0.45722121132820537
1626144,Emmanuel Mudiay,0.016271649308595093,0.07809714401806787,-0.09424039323285006,0.022484101911897737,-0.15137417004433906,0.012692890296300729,0.41955400942491716,0.00015833832907550982,-0.19530545539822905,0.05085780352525333,-0.4087664550015987
1626145,Tyus Jones,-0.034432721665201865,0.06662514840548406,-0.2691599011183556,0.018279671914382113,-0.08711768921127916,0.028235212890226336,0.11836989644424915,2.904802158213337e-05,0.00548604981010617,0.05240941836433885,-0.3042950158835205
1626149,Montrezl Harrell,-0.0425796898185053,0.09338398613247327,-0.8554570219653372,-0.004124555987325454,-0.14963686102470192,-0.033208852681705016,0.3764611347819244,8.533158060372971e-05,-0.0024210404828702288,0.04399873951627669,-0.7504227420305212
1626153,Delon Wright,0.036337737726916494,-0.0053051673499601255,-0.21340704645094777,0.004534434929382805,-0.2523890461962742,-0.032426193559399005,0.6595111359344844,-2.7942445761963933e-05,-0.08811516212899916,0.011853626962584069,-0.29364766993400654
1626156,D'Angelo Russell,0.007667749598588693,0.027694669237419266,-0.2422274575021912,-0.04998925402048695,-0.14628674304514805,-0.053749269640639356,0.4485990229056178,0.020301335807536208,-0.09138488978780511,0.07365619856298229,-0.1631056588612011
1626157,Karl-Anthony Towns,-0.05301409090221512,0.042569339369012534,-0.13473486889896386,-0.0031556952941885047,-0.21485493417856225,0.027921807000472764,0.40568335174063774,0.0016669530655394197,-0.007732761263685448,0.03056305174527228,-0.01273661101196478
1626158,Richaun Holmes,-0.05902591275943411,0.03505794282136063,-0.3203877224598704,-0.009029501718270024,-0.22047959591423782,-0.016427320460753465,0.5283588501946938,-6.370624309500432e-05,-0.03573247802388037,-2.1975142615003898e-05,-0.34967888987604595
1626159,Justise Winslow,-0.14284520615523644,0.013064830231880882,-0.17794781375846344,-0.0749603553536986,-0.14496128317770235,0.0016487122394007825,0.4258242112151309,3.9446668243965264e-05,-0.18977091479786368,0.038612295270119265,-0.35540225248664137
1626161,Willie Cauley-Stein,0.01643570882684798,0.03156853983282066,-0.12615216259810422,-0.030829713016372152,-0.22107200782086878,0.03113662789082277,0.4357313046599306,-0.00020039167950157443,-0.04712753478358676,0.05149230370258255,-0.45011395423500766
1626162,Kelly Oubre Jr.,0.026320581810661187,0.01150196905486243,-0.2295551834546238,0.04714568710084217,-0.1302317869808517,-0.06926785741881779,0.351159424378385,-8.247245080985255e-06,0.0034000633200514793,0.26841761609067516,-0.3763228793609875
1626163,Frank Kaminsky,-0.011146065442054553,0.0599156500574119,-0.14992692393756243,0.046585208779441584,-0.20777828690945965,0.0028532615070034424,0.4025731245869545,0.035243540603850765,0.00669222171240457,0.05525263050508733,-0.27352673549159734
1626164,Devin Booker,-0.030944997122585697,0.00845998621835525,-0.24824202388909053,0.014707206107547253,-0.15295227263948888,-0.015447664186486175,0.361240879373559,0.01821840877995173,-0.030714884968489516,0.026373075122598025,-0.14031065088873484
1626167,Myles Turner,-0.021146214608414694,-0.007848124624160879,-0.14117540060855902,-0.03264596209320521,-0.20387918269983196,0.016836401117515953,0.437990225208214,0.01065637834852513,-0.06758820404079544,0.02800280953520612,-0.08230854832997048
