GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020100020,165,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,7,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-71,40,1,0,20011101,MEM,DET
Shot Chart Detail,0020100020,184,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,6,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011101,MEM,DET
Shot Chart Detail,0020100020,374,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,0,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011101,MEM,DET
Shot Chart Detail,0020100020,391,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,10,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,81,200,1,1,20011101,MEM,DET
Shot Chart Detail,0020100020,394,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,10,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,28,1,0,20011101,MEM,DET
Shot Chart Detail,0020100032,57,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,5,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-25,78,1,0,20011102,MIN,MEM
Shot Chart Detail,0020100032,124,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,11,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100032,161,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,7,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,75,171,1,0,20011102,MIN,MEM
Shot Chart Detail,0020100032,173,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,6,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100032,294,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,8,26,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100032,328,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,5,45,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011102,MIN,MEM
Shot Chart Detail,0020100032,477,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,5,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100032,481,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,4,46,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,68,13,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100032,510,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,2,29,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011102,MIN,MEM
Shot Chart Detail,0020100045,64,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,4,26,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-18,70,1,0,20011104,MEM,DAL
Shot Chart Detail,0020100045,103,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,0,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,-13,1,0,20011104,MEM,DAL
Shot Chart Detail,0020100045,410,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,9,12,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,57,1,1,20011104,MEM,DAL
Shot Chart Detail,0020100061,3,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,11,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,40,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,20,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,9,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,30,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,8,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,34,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,7,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,51,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,61,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,4,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-109,230,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,69,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,3,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,177,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,3,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,211,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,11,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-37,74,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,213,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,239,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,8,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,243,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,7,48,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,51,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,270,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,5,26,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100061,312,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,0,51,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,7,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,334,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,11,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,13,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,338,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,10,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,176,63,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,369,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,7,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,13,1,0,20011106,PHX,MEM
Shot Chart Detail,0020100061,439,2200,Pau Gasol,1610612763,Memphis Grizzlies,4,0,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011106,PHX,MEM
Shot Chart Detail,0020100069,3,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,11,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-10,160,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,12,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,10,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,16,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,10,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,49,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,18,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,10,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,51,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,6,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,53,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,6,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,222,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,70,2200,Pau Gasol,1610612763,Memphis Grizzlies,1,4,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,96,127,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,139,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,10,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,144,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,9,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,164,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,8,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,166,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,8,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,187,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,5,44,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,190,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,5,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,26,55,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,199,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,4,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,38,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,201,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,4,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,227,2200,Pau Gasol,1610612763,Memphis Grizzlies,2,1,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-52,82,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,261,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,11,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20011107,LAC,MEM
Shot Chart Detail,0020100069,297,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,6,57,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
Shot Chart Detail,0020100069,323,2200,Pau Gasol,1610612763,Memphis Grizzlies,3,4,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20011107,LAC,MEM
