GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020200011,127,2403,Nene,1610612743,Denver Nuggets,2,10,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MIN,DEN
Shot Chart Detail,0020200011,130,2403,Nene,1610612743,Denver Nuggets,2,9,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MIN,DEN
Shot Chart Detail,0020200011,133,2403,Nene,1610612743,Denver Nuggets,2,9,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-46,112,1,0,20021030,MIN,DEN
Shot Chart Detail,0020200011,262,2403,Nene,1610612743,Denver Nuggets,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,32,21,327,1,0,20021030,MIN,DEN
Shot Chart Detail,0020200011,333,2403,Nene,1610612743,Denver Nuggets,3,5,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021030,MIN,DEN
Shot Chart Detail,0020200011,420,2403,Nene,1610612743,Denver Nuggets,4,7,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,13,1,0,20021030,MIN,DEN
Shot Chart Detail,0020200027,76,2403,Nene,1610612743,Denver Nuggets,1,3,27,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DEN,HOU
Shot Chart Detail,0020200027,341,2403,Nene,1610612743,Denver Nuggets,3,1,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021101,DEN,HOU
Shot Chart Detail,0020200027,352,2403,Nene,1610612743,Denver Nuggets,3,0,29,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021101,DEN,HOU
Shot Chart Detail,0020200027,367,2403,Nene,1610612743,Denver Nuggets,4,11,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,131,61,1,0,20021101,DEN,HOU
Shot Chart Detail,0020200027,373,2403,Nene,1610612743,Denver Nuggets,4,9,57,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,3,1,0,20021101,DEN,HOU
Shot Chart Detail,0020200041,47,2403,Nene,1610612743,Denver Nuggets,1,4,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021102,POR,DEN
Shot Chart Detail,0020200041,58,2403,Nene,1610612743,Denver Nuggets,1,3,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021102,POR,DEN
Shot Chart Detail,0020200041,69,2403,Nene,1610612743,Denver Nuggets,1,2,4,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,44,36,1,1,20021102,POR,DEN
Shot Chart Detail,0020200041,115,2403,Nene,1610612743,Denver Nuggets,2,10,41,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021102,POR,DEN
Shot Chart Detail,0020200041,132,2403,Nene,1610612743,Denver Nuggets,2,9,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021102,POR,DEN
Shot Chart Detail,0020200041,340,2403,Nene,1610612743,Denver Nuggets,4,10,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021102,POR,DEN
Shot Chart Detail,0020200058,40,2403,Nene,1610612743,Denver Nuggets,1,7,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,-19,1,0,20021105,DEN,ATL
Shot Chart Detail,0020200058,61,2403,Nene,1610612743,Denver Nuggets,1,6,9,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,31,1,1,20021105,DEN,ATL
Shot Chart Detail,0020200058,73,2403,Nene,1610612743,Denver Nuggets,1,4,32,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021105,DEN,ATL
Shot Chart Detail,0020200058,360,2403,Nene,1610612743,Denver Nuggets,3,0,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,12,1,0,20021105,DEN,ATL
Shot Chart Detail,0020200058,505,2403,Nene,1610612743,Denver Nuggets,4,0,11,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021105,DEN,ATL
Shot Chart Detail,0020200071,48,2403,Nene,1610612743,Denver Nuggets,1,5,46,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021107,DEN,DET
