GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020200071,70,2403,Nene,1610612743,Denver Nuggets,1,2,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,72,2403,Nene,1610612743,Denver Nuggets,1,2,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-118,68,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,77,2403,Nene,1610612743,Denver Nuggets,1,2,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021107,DEN,DET
Shot Chart Detail,0020200071,90,2403,Nene,1610612743,Denver Nuggets,1,0,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,92,2403,Nene,1610612743,Denver Nuggets,1,0,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,129,2403,Nene,1610612743,Denver Nuggets,2,9,20,Missed Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-21,46,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,379,2403,Nene,1610612743,Denver Nuggets,4,7,20,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021107,DEN,DET
Shot Chart Detail,0020200071,386,2403,Nene,1610612743,Denver Nuggets,4,6,16,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,30,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,390,2403,Nene,1610612743,Denver Nuggets,4,5,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,105,122,1,0,20021107,DEN,DET
Shot Chart Detail,0020200071,400,2403,Nene,1610612743,Denver Nuggets,4,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021107,DEN,DET
Shot Chart Detail,0020200091,36,2403,Nene,1610612743,Denver Nuggets,1,8,21,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021109,DEN,MEM
Shot Chart Detail,0020200091,89,2403,Nene,1610612743,Denver Nuggets,1,4,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021109,DEN,MEM
Shot Chart Detail,0020200091,125,2403,Nene,1610612743,Denver Nuggets,1,0,27,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,-14,1,0,20021109,DEN,MEM
Shot Chart Detail,0020200091,266,2403,Nene,1610612743,Denver Nuggets,2,0,28,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021109,DEN,MEM
Shot Chart Detail,0020200091,284,2403,Nene,1610612743,Denver Nuggets,3,11,34,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021109,DEN,MEM
Shot Chart Detail,0020200091,293,2403,Nene,1610612743,Denver Nuggets,3,10,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021109,DEN,MEM
Shot Chart Detail,0020200091,309,2403,Nene,1610612743,Denver Nuggets,3,8,43,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,66,64,1,0,20021109,DEN,MEM
Shot Chart Detail,0020200091,339,2403,Nene,1610612743,Denver Nuggets,3,6,30,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-67,41,1,0,20021109,DEN,MEM
Shot Chart Detail,0020200112,101,2403,Nene,1610612743,Denver Nuggets,1,0,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021113,DEN,PHX
Shot Chart Detail,0020200112,139,2403,Nene,1610612743,Denver Nuggets,2,8,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,115,1,0,20021113,DEN,PHX
Shot Chart Detail,0020200112,164,2403,Nene,1610612743,Denver Nuggets,2,6,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021113,DEN,PHX
Shot Chart Detail,0020200112,169,2403,Nene,1610612743,Denver Nuggets,2,6,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021113,DEN,PHX
Shot Chart Detail,0020200112,346,2403,Nene,1610612743,Denver Nuggets,4,11,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021113,DEN,PHX
Shot Chart Detail,0020200112,380,2403,Nene,1610612743,Denver Nuggets,4,7,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,18,1,0,20021113,DEN,PHX
Shot Chart Detail,0020200112,384,2403,Nene,1610612743,Denver Nuggets,4,7,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021113,DEN,PHX
Shot Chart Detail,0020200112,414,2403,Nene,1610612743,Denver Nuggets,4,4,10,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021113,DEN,PHX
Shot Chart Detail,0020200117,112,2403,Nene,1610612743,Denver Nuggets,2,11,32,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200117,125,2403,Nene,1610612743,Denver Nuggets,2,9,54,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200117,157,2403,Nene,1610612743,Denver Nuggets,2,7,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200117,181,2403,Nene,1610612743,Denver Nuggets,2,4,44,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-3,59,1,0,20021115,TOR,DEN
Shot Chart Detail,0020200117,186,2403,Nene,1610612743,Denver Nuggets,2,4,9,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021115,TOR,DEN
Shot Chart Detail,0020200117,389,2403,Nene,1610612743,Denver Nuggets,3,0,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200117,422,2403,Nene,1610612743,Denver Nuggets,4,8,35,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,22,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200117,458,2403,Nene,1610612743,Denver Nuggets,4,5,3,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,46,1,1,20021115,TOR,DEN
Shot Chart Detail,0020200133,73,2403,Nene,1610612743,Denver Nuggets,1,3,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,-6,1,0,20021116,DET,DEN
Shot Chart Detail,0020200133,83,2403,Nene,1610612743,Denver Nuggets,1,1,55,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021116,DET,DEN
Shot Chart Detail,0020200133,120,2403,Nene,1610612743,Denver Nuggets,2,10,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-8,160,1,0,20021116,DET,DEN
Shot Chart Detail,0020200144,113,2403,Nene,1610612743,Denver Nuggets,2,8,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,20,1,0,20021118,NJN,DEN
Shot Chart Detail,0020200144,287,2403,Nene,1610612743,Denver Nuggets,3,3,23,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021118,NJN,DEN
Shot Chart Detail,0020200144,323,2403,Nene,1610612743,Denver Nuggets,3,0,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,66,46,1,0,20021118,NJN,DEN
Shot Chart Detail,0020200144,360,2403,Nene,1610612743,Denver Nuggets,4,9,25,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021118,NJN,DEN
Shot Chart Detail,0020200144,367,2403,Nene,1610612743,Denver Nuggets,4,8,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,28,1,0,20021118,NJN,DEN
Shot Chart Detail,0020200144,429,2403,Nene,1610612743,Denver Nuggets,4,1,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021118,NJN,DEN
Shot Chart Detail,0020200144,442,2403,Nene,1610612743,Denver Nuggets,4,0,16,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021118,NJN,DEN
Shot Chart Detail,0020200162,36,2403,Nene,1610612743,Denver Nuggets,1,8,19,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021120,DEN,UTA
Shot Chart Detail,0020200162,50,2403,Nene,1610612743,Denver Nuggets,1,6,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-46,55,1,0,20021120,DEN,UTA
Shot Chart Detail,0020200162,59,2403,Nene,1610612743,Denver Nuggets,1,5,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,8,-80,0,1,0,20021120,DEN,UTA
Shot Chart Detail,0020200162,69,2403,Nene,1610612743,Denver Nuggets,1,4,38,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,41,1,1,20021120,DEN,UTA
Shot Chart Detail,0020200162,92,2403,Nene,1610612743,Denver Nuggets,1,2,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021120,DEN,UTA
Shot Chart Detail,0020200162,97,2403,Nene,1610612743,Denver Nuggets,1,1,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021120,DEN,UTA
Shot Chart Detail,0020200162,106,2403,Nene,1610612743,Denver Nuggets,1,1,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021120,DEN,UTA
Shot Chart Detail,0020200162,419,2403,Nene,1610612743,Denver Nuggets,4,7,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,17,1,0,20021120,DEN,UTA
Shot Chart Detail,0020200177,107,2403,Nene,1610612743,Denver Nuggets,1,0,0,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021122,DEN,LAC
Shot Chart Detail,0020200177,386,2403,Nene,1610612743,Denver Nuggets,4,8,55,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-8,53,1,1,20021122,DEN,LAC
Shot Chart Detail,0020200177,400,2403,Nene,1610612743,Denver Nuggets,4,7,10,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-18,54,1,1,20021122,DEN,LAC
Shot Chart Detail,0020200187,92,2403,Nene,1610612743,Denver Nuggets,1,0,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,40,1,1,20021123,PHX,DEN
Shot Chart Detail,0020200187,109,2403,Nene,1610612743,Denver Nuggets,2,11,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,7,1,0,20021123,PHX,DEN
Shot Chart Detail,0020200187,113,2403,Nene,1610612743,Denver Nuggets,2,10,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021123,PHX,DEN
Shot Chart Detail,0020200187,293,2403,Nene,1610612743,Denver Nuggets,3,6,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,-14,1,0,20021123,PHX,DEN
Shot Chart Detail,0020200187,365,2403,Nene,1610612743,Denver Nuggets,4,8,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021123,PHX,DEN
Shot Chart Detail,0020200187,394,2403,Nene,1610612743,Denver Nuggets,4,6,12,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,46,1,0,20021123,PHX,DEN
Shot Chart Detail,0020200201,123,2403,Nene,1610612743,Denver Nuggets,1,0,0,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,31,1,1,20021126,DEN,SAS
Shot Chart Detail,0020200201,164,2403,Nene,1610612743,Denver Nuggets,2,7,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,164,56,1,0,20021126,DEN,SAS
Shot Chart Detail,0020200201,172,2403,Nene,1610612743,Denver Nuggets,2,6,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021126,DEN,SAS
Shot Chart Detail,0020200201,281,2403,Nene,1610612743,Denver Nuggets,3,6,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20021126,DEN,SAS
Shot Chart Detail,0020200201,290,2403,Nene,1610612743,Denver Nuggets,3,5,2,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021126,DEN,SAS
Shot Chart Detail,0020200201,385,2403,Nene,1610612743,Denver Nuggets,4,9,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,10,1,1,20021126,DEN,SAS
Shot Chart Detail,0020200201,446,2403,Nene,1610612743,Denver Nuggets,4,1,25,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-62,52,1,1,20021126,DEN,SAS
Shot Chart Detail,0020200213,78,2403,Nene,1610612743,Denver Nuggets,1,3,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-64,153,1,0,20021127,SAS,DEN
Shot Chart Detail,0020200213,190,2403,Nene,1610612743,Denver Nuggets,2,6,21,Missed Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,17,1,0,20021127,SAS,DEN
Shot Chart Detail,0020200213,229,2403,Nene,1610612743,Denver Nuggets,2,2,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,10,1,1,20021127,SAS,DEN
Shot Chart Detail,0020200213,360,2403,Nene,1610612743,Denver Nuggets,3,0,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,20,1,0,20021127,SAS,DEN
Shot Chart Detail,0020200213,364,2403,Nene,1610612743,Denver Nuggets,3,0,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,15,1,1,20021127,SAS,DEN
Shot Chart Detail,0020200213,380,2403,Nene,1610612743,Denver Nuggets,4,10,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,17,1,1,20021127,SAS,DEN
Shot Chart Detail,0020200213,392,2403,Nene,1610612743,Denver Nuggets,4,9,28,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,0,20021127,SAS,DEN
Shot Chart Detail,0020200213,414,2403,Nene,1610612743,Denver Nuggets,4,7,27,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,0,20021127,SAS,DEN
Shot Chart Detail,0020200213,416,2403,Nene,1610612743,Denver Nuggets,4,7,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20021127,SAS,DEN
Shot Chart Detail,0020200224,325,2403,Nene,1610612743,Denver Nuggets,3,5,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021129,DEN,GSW
Shot Chart Detail,0020200255,188,2403,Nene,1610612743,Denver Nuggets,2,5,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,92,145,1,1,20021203,GSW,DEN
Shot Chart Detail,0020200255,198,2403,Nene,1610612743,Denver Nuggets,2,5,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021203,GSW,DEN
Shot Chart Detail,0020200255,201,2403,Nene,1610612743,Denver Nuggets,2,4,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-105,10,1,0,20021203,GSW,DEN
Shot Chart Detail,0020200255,443,2403,Nene,1610612743,Denver Nuggets,4,8,42,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-6,46,1,1,20021203,GSW,DEN
Shot Chart Detail,0020200255,449,2403,Nene,1610612743,Denver Nuggets,4,7,29,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021203,GSW,DEN
Shot Chart Detail,0020200261,37,2403,Nene,1610612743,Denver Nuggets,1,7,5,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021204,DEN,SAC
Shot Chart Detail,0020200261,40,2403,Nene,1610612743,Denver Nuggets,1,6,13,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,59,1,0,20021204,DEN,SAC
Shot Chart Detail,0020200261,61,2403,Nene,1610612743,Denver Nuggets,1,4,35,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021204,DEN,SAC
Shot Chart Detail,0020200261,67,2403,Nene,1610612743,Denver Nuggets,1,3,48,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,-6,1,0,20021204,DEN,SAC
Shot Chart Detail,0020200261,71,2403,Nene,1610612743,Denver Nuggets,1,3,11,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021204,DEN,SAC
Shot Chart Detail,0020200261,189,2403,Nene,1610612743,Denver Nuggets,2,5,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,44,53,1,0,20021204,DEN,SAC
Shot Chart Detail,0020200261,259,2403,Nene,1610612743,Denver Nuggets,3,10,41,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021204,DEN,SAC
Shot Chart Detail,0020200261,295,2403,Nene,1610612743,Denver Nuggets,3,6,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,59,40,1,1,20021204,DEN,SAC
Shot Chart Detail,0020200286,87,2403,Nene,1610612743,Denver Nuggets,1,4,1,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,68,1,1,20021207,DEN,IND
Shot Chart Detail,0020200286,162,2403,Nene,1610612743,Denver Nuggets,2,10,26,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,57,48,1,0,20021207,DEN,IND
Shot Chart Detail,0020200286,332,2403,Nene,1610612743,Denver Nuggets,3,8,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,26,1,0,20021207,DEN,IND
Shot Chart Detail,0020200297,121,2403,Nene,1610612743,Denver Nuggets,2,11,30,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20021209,DEN,MIN
